Mon Dec  6 14:24:07 2021    output_profiling/output_storkey.dat

         361439 function calls (361428 primitive calls) in 1.687 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    60123    0.086    0.000    0.086    0.000 {built-in method numpy.array}
45110/45100    0.047    0.000    0.377    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    44848    0.013    0.000    0.025    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/_asarray.py:23(asarray)
    14884    0.042    0.000    0.042    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    14871    0.002    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/multiarray.py:716(dot)
    14871    0.008    0.000    0.054    0.000 {method 'all' of 'numpy.ndarray' objects}
    14871    0.010    0.000    0.044    0.000 <__array_function__ internals>:2(dot)
    14871    0.005    0.000    0.047    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/_methods.py:59(_all)
    14870    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
    14870    0.075    0.000    0.075    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
    14869    0.052    0.000    0.267    0.000 /Users/macpro/BIO-210-team-28/scripts/algorithms.py:217(update_async)
    14869    0.002    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/numeric.py:2388(_array_equal_dispatcher)
    14869    0.053    0.000    0.132    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/numeric.py:2392(array_equal)
    14869    0.009    0.000    0.150    0.000 <__array_function__ internals>:2(array_equal)
    14869    0.002    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/function_base.py:711(_copy_dispatcher)
    14869    0.005    0.000    0.078    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/function_base.py:715(copy)
    14869    0.010    0.000    0.098    0.000 <__array_function__ internals>:2(copy)
      244    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/_asarray.py:110(asanyarray)
      240    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      240    0.001    0.000    0.001    0.000 {method 'diagonal' of 'numpy.ndarray' objects}
      240    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1509(_diagonal_dispatcher)
      240    0.001    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1513(diagonal)
      240    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(diagonal)
      160    0.039    0.000    0.039    0.000 {method 'dot' of 'numpy.ndarray' objects}
      160    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       85    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       80    0.227    0.003    0.272    0.003 /Users/macpro/BIO-210-team-28/scripts/algorithms.py:378(generate_h_matrix)
       80    0.629    0.008    1.019    0.013 /Users/macpro/BIO-210-team-28/scripts/algorithms.py:419(storkey_rule)
       80    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       80    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
